epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6317607164382935,0.9636205434799194,0.001,0.804729700088501,0.6594944596290588
1,0.8125168681144714,0.5563783645629883,0.001,0.8347297310829163,0.470152348279953
2,0.8272170424461365,0.4813699424266815,0.001,0.8362162113189697,0.45264732837677
3,0.8366617560386658,0.45902523398399353,0.001,0.8410810828208923,0.44102829694747925
4,0.8393495082855225,0.4544734060764313,0.001,0.8431081175804138,0.43483439087867737
5,0.843223512172699,0.44517987966537476,0.001,0.8425675630569458,0.43586987257003784
6,0.8491396307945251,0.43469125032424927,0.001,0.8385134935379028,0.4344716966152191
7,0.849530041217804,0.43705126643180847,0.001,0.8483783602714539,0.42584261298179626
8,0.8547854423522949,0.4244707226753235,0.001,0.8459459543228149,0.42343297600746155
9,0.8519925475120544,0.42585039138793945,0.001,0.8408108353614807,0.4289136528968811
10,0.8574431538581848,0.4191117584705353,0.001,0.8543243408203125,0.42032843828201294
11,0.8568875789642334,0.41998594999313354,0.001,0.8505405187606812,0.42174720764160156
12,0.8603561520576477,0.4175164997577667,0.001,0.8420270085334778,0.432280957698822
13,0.8632541298866272,0.4110863208770752,0.001,0.8466216325759888,0.4271852970123291
14,0.8827592134475708,0.3720880150794983,0.00020000001,0.8555405139923096,0.40470606088638306
15,0.8911678791046143,0.35241204500198364,0.00020000001,0.8554053902626038,0.40101853013038635
16,0.8953272104263306,0.34396374225616455,0.00020000001,0.8568918704986572,0.4010523557662964
17,0.8981200456619263,0.3371402621269226,0.00020000001,0.8543243408203125,0.40219107270240784
18,0.8976395726203918,0.33253949880599976,0.00020000001,0.8521621823310852,0.40528780221939087
19,0.9102826118469238,0.3152022659778595,4.0000003e-05,0.8568918704986572,0.3986224830150604
20,0.9128652215003967,0.3093309998512268,4.0000003e-05,0.8564864993095398,0.39844056963920593
21,0.9136610627174377,0.3073476254940033,4.0000003e-05,0.8587837815284729,0.3992033302783966
22,0.9147722125053406,0.3054836094379425,4.0000003e-05,0.8589189052581787,0.39862051606178284
23,0.9157181978225708,0.3027711808681488,4.0000003e-05,0.8583783507347107,0.4002715051174164
24,0.9186612367630005,0.2992466688156128,1e-05,0.8574324250221252,0.398844838142395
25,0.9179854989051819,0.2991954982280731,1e-05,0.8583783507347107,0.39894425868988037
26,0.9187813401222229,0.2986261248588562,1e-05,0.8577027320861816,0.3989238440990448
27,0.9190366268157959,0.2968285381793976,1e-05,0.8574324250221252,0.3990994095802307
28,0.9191567301750183,0.29687976837158203,1e-05,0.8572973012924194,0.3991556465625763
29,0.9183608889579773,0.29706552624702454,1e-05,0.8578378558158875,0.39928972721099854
30,0.9197423458099365,0.295881986618042,1e-05,0.857567548751831,0.3992442488670349
31,0.9195621609687805,0.2953728437423706,1e-05,0.8572973012924194,0.39944180846214294
32,0.9201327562332153,0.29455575346946716,1e-05,0.8572973012924194,0.3993559181690216
33,0.9206582903862,0.2947799563407898,1e-05,0.8566216230392456,0.39985162019729614
34,0.9198173880577087,0.29419687390327454,1e-05,0.8566216230392456,0.3996661901473999
35,0.9208984971046448,0.2940319776535034,1e-05,0.8574324250221252,0.3995921313762665
36,0.9217093586921692,0.2927238643169403,1e-05,0.857567548751831,0.3995877504348755
37,0.9214240908622742,0.29238462448120117,1e-05,0.8560810685157776,0.4004453122615814
38,0.9229556322097778,0.2918335497379303,1e-05,0.8570270538330078,0.3998579978942871
39,0.9222348928451538,0.29160475730895996,1e-05,0.8566216230392456,0.39974549412727356
