epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4880000054836273,2.1088438034057617,0.001,0.5210000276565552,1.8594539165496826
1,0.5297499895095825,1.7035518884658813,0.001,0.6010000109672546,1.508565068244934
2,0.5837500095367432,1.3903254270553589,0.001,0.6110000014305115,1.2406238317489624
3,0.6382499933242798,1.152963399887085,0.001,0.7269999980926514,1.0395888090133667
4,0.7289999723434448,0.9691440463066101,0.001,0.7379999756813049,0.8884384036064148
5,0.778249979019165,0.8318300843238831,0.001,0.7570000290870667,0.7794756889343262
6,0.8050000071525574,0.7365553975105286,0.001,0.8259999752044678,0.7097597718238831
7,0.8422499895095825,0.6570723056793213,0.001,0.8180000185966492,0.65144944190979
8,0.8622499704360962,0.5970847606658936,0.001,0.8230000138282776,0.6144340634346008
9,0.8827499747276306,0.5481884479522705,0.001,0.8420000076293945,0.5885642766952515
10,0.8955000042915344,0.5029476284980774,0.001,0.8370000123977661,0.5696935653686523
11,0.9144999980926514,0.4668365716934204,0.001,0.8309999704360962,0.5625151991844177
12,0.9182500243186951,0.43861517310142517,0.001,0.8370000123977661,0.544672429561615
13,0.9275000095367432,0.41200628876686096,0.001,0.8069999814033508,0.6042720675468445
14,0.9337499737739563,0.38262444734573364,0.001,0.8109999895095825,0.5935530662536621
15,0.9492499828338623,0.34820088744163513,0.001,0.8370000123977661,0.5601387619972229
16,0.9695000052452087,0.31362125277519226,0.00020000001,0.8360000252723694,0.553965151309967
17,0.9732499718666077,0.30653882026672363,0.00020000001,0.8379999995231628,0.5549094080924988
18,0.9787499904632568,0.2974265515804291,0.00020000001,0.8389999866485596,0.5475481152534485
19,0.9807500243186951,0.29503321647644043,4.0000003e-05,0.8360000252723694,0.5600506663322449
20,0.9804999828338623,0.2909238040447235,4.0000003e-05,0.8410000205039978,0.5502610206604004
21,0.9819999933242798,0.29019421339035034,4.0000003e-05,0.8379999995231628,0.5571650266647339
22,0.9800000190734863,0.29048430919647217,1e-05,0.8379999995231628,0.5568409562110901
23,0.9835000038146973,0.28922924399375916,1e-05,0.8420000076293945,0.5519150495529175
24,0.9817500114440918,0.28829243779182434,1e-05,0.8420000076293945,0.5530218482017517
25,0.9817500114440918,0.2887583374977112,1e-05,0.8429999947547913,0.5543999075889587
26,0.9810000061988831,0.2865789234638214,1e-05,0.8420000076293945,0.5540523529052734
27,0.9819999933242798,0.2873198688030243,1e-05,0.8410000205039978,0.5543844699859619
28,0.9825000166893005,0.28710702061653137,1e-05,0.8420000076293945,0.5539712905883789
29,0.9835000038146973,0.2858095169067383,1e-05,0.8410000205039978,0.5541092157363892
30,0.9827499985694885,0.28647300601005554,1e-05,0.8399999737739563,0.5544365048408508
31,0.9832500219345093,0.2867845892906189,1e-05,0.8410000205039978,0.5535939335823059
32,0.9804999828338623,0.285873144865036,1e-05,0.8410000205039978,0.5546996593475342
33,0.9835000038146973,0.284818559885025,1e-05,0.8410000205039978,0.5543733835220337
34,0.9835000038146973,0.2846420705318451,1e-05,0.8410000205039978,0.5535559058189392
35,0.9825000166893005,0.2854459583759308,1e-05,0.8420000076293945,0.5553769469261169
36,0.9825000166893005,0.2832792103290558,1e-05,0.8410000205039978,0.5542798638343811
37,0.9815000295639038,0.2828449606895447,1e-05,0.8410000205039978,0.5543065071105957
38,0.9810000061988831,0.2849307060241699,1e-05,0.8410000205039978,0.555111289024353
39,0.9825000166893005,0.28503894805908203,1e-05,0.8420000076293945,0.5545970797538757
40,0.984250009059906,0.28288188576698303,1e-05,0.8420000076293945,0.5548838376998901
41,0.9827499985694885,0.28406405448913574,1e-05,0.8420000076293945,0.554443359375
42,0.9829999804496765,0.28488898277282715,1e-05,0.8420000076293945,0.5545955896377563
43,0.9832500219345093,0.2830061614513397,1e-05,0.8410000205039978,0.5541549921035767
44,0.9822499752044678,0.28227606415748596,1e-05,0.8420000076293945,0.5545185804367065
45,0.9827499985694885,0.2819201350212097,1e-05,0.8420000076293945,0.5543893575668335
46,0.9819999933242798,0.28211086988449097,1e-05,0.8420000076293945,0.5541987419128418
47,0.9829999804496765,0.2804979681968689,1e-05,0.8420000076293945,0.554756224155426
48,0.9837499856948853,0.27984723448753357,1e-05,0.8420000076293945,0.5544665455818176
49,0.9829999804496765,0.280740350484848,1e-05,0.8420000076293945,0.5551753044128418
50,0.9835000038146973,0.28099265694618225,1e-05,0.8420000076293945,0.5550373196601868
51,0.9837499856948853,0.2790345549583435,1e-05,0.8420000076293945,0.5547388792037964
52,0.9837499856948853,0.27728813886642456,1e-05,0.8420000076293945,0.5550263524055481
53,0.9867500066757202,0.278773695230484,1e-05,0.8429999947547913,0.555180549621582
54,0.9837499856948853,0.27973154187202454,1e-05,0.8420000076293945,0.5545245409011841
55,0.9832500219345093,0.2798732817173004,1e-05,0.8420000076293945,0.5548319816589355
